created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2026-01-19T18:07:12Z,1371,hub,1768845965,"Moist,+006.26,+004.59,+003.89,+003.32,+003.89,+003.12,+003.17,+004.88","Temp,+039.62,+040.04,+039.69,+039.48,+040.43,+041.34,+041.70,+041.72","Batt,5.06",,,
2026-01-19T18:08:07Z,1372,9f48: @w1r,1768846019,"Moist,+006.53,+010.88,+009.08,+004.30,+002.97,+003.82,+004.72,+005.96","Temp,+030.40,+034.82,+038.73,+039.21,+038.36,+039.19,+041.08,+042.15","Batt,4.09",,,
2026-01-19T19:07:19Z,1373,hub,1768849571,"Moist,+006.22,+004.51,+003.81,+003.12,+003.75,+003.00,+003.18,+004.79","Temp,+039.31,+039.44,+039.04,+038.81,+039.73,+040.51,+040.76,+040.81","Batt,5.06",,,
2026-01-19T19:08:13Z,1374,9f48: @w1r,1768849625,"Moist,+006.63,+010.88,+009.21,+004.37,+002.94,+003.84,+004.73,+005.92","Temp,+030.37,+034.40,+037.90,+038.50,+037.76,+038.48,+040.15,+041.31","Batt,4.09",,,
2026-01-19T20:07:26Z,1375,hub,1768853178,"Moist,+006.39,+004.73,+004.23,+003.32,+003.88,+003.04,+003.15,+004.79","Temp,+037.79,+037.68,+037.20,+036.92,+037.80,+038.71,+039.01,+039.25","Batt,5.06",,,
2026-01-19T20:08:21Z,1376,9f48: @w1r,1768853232,"Moist,+006.05,+010.62,+009.64,+004.40,+002.98,+003.83,+004.75,+005.83","Temp,+029.21,+033.33,+036.72,+037.20,+036.34,+036.94,+038.36,+039.54","Batt,4.09",,,
2026-01-19T21:07:33Z,1377,hub,1768856784,"Moist,+007.40,+005.85,+005.51,+004.31,+005.04,+003.93,+004.03,+005.44","Temp,+031.38,+031.16,+030.82,+030.69,+031.27,+031.76,+031.89,+031.86","Batt,5.06",,,
2026-01-19T21:08:27Z,1378,9f48: @w1r,1768856838,"Moist,+008.53,+011.63,+008.24,+003.77,+002.65,+003.06,+003.75,+005.08","Temp,+025.06,+027.47,+029.75,+030.34,+029.76,+030.08,+030.67,+031.65","Batt,4.09",,,
2026-01-19T22:07:39Z,1379,hub,1768860390,"Moist,+007.52,+006.06,+005.83,+004.59,+005.33,+004.11,+004.21,+005.76","Temp,+026.68,+026.65,+026.32,+026.28,+026.57,+026.81,+026.80,+026.67","Batt,5.06",,,
2026-01-19T22:08:34Z,1380,9f48: @w1r,1768860444,"Moist,+008.05,+011.63,+008.88,+003.96,+002.71,+003.12,+003.87,+005.12","Temp,+021.64,+023.35,+025.12,+025.61,+025.01,+025.29,+025.71,+026.55","Batt,4.09",,,
